Replacement,Original
January,january
February,february
April,april
June,june
July,july
August,august
September,september
October,october
November,november
December,december
organisation,organization
organisations,organizations
queue,cue
the,thee
site,sight
sites,sights
trainees,trainings
trainee,training
dual,duel
Symfony,symphony
Slack,slack
Sharepoint,sharepoint
Teams,teams
Horus,Horace
which,witch
bug,book
Azure,as your
player,play a
player,playa
key,ki
key,chi
key,che
cancel,counsel
cancel,council
cancelling,counselling
handle,handel
boolean,bullion
hire,higher
hire,hie
